Annotation accession	Annotation status	Annotation type	Genome assembly	Experiment accession	Experiment status	Description	Biosample summary	Biosample term name	Biosample classification	Assay name	Perturbed	observed signal profile (minus strand)	training and test regions	observed signal profile (plus strand)	models	selected regions for predicted signal and sequence contribution scores	profile sequence contribution scores	counts sequence contribution scores	predicted signal profile	normalized observed signal profile (plus strand)	normalized observed signal profile (minus strand)	observed control profile (plus strand)	observed control profile (minus strand)	alignments	unfiltered alignments	sequence motifs	sequence motifs instances	sequence motifs report	predicted signal profile (plus strand)	predicted signal profile (minus strand)	normalized predicted signal profile (plus strand)	normalized predicted signal profile (minus strand)	bidirectional peaks	unidirectional peaks
ENCSR079TDJ	in progress	BPNet-model	GRCh38	ENCSR000DRZ	released	CTCF ChIP-seq on human GM12878	Homo sapiens GM12878	GM12878	cell line	ChIP-seq	false	['ENCFF420VFK.bigWig']	['ENCFF175XVF.tar.gz']	['ENCFF592AST.bigWig']	['ENCFF510XSW.tar.gz']	['ENCFF109LGY.bed.gz', 'ENCFF644RUL.bigBed']	['ENCFF714EYW.bigWig', 'ENCFF382NLP.tar.gz']	['ENCFF557KPF.bigWig', 'ENCFF888HPZ.tar.gz']	['ENCFF808RLB.tar.gz']	['ENCFF101PLO.bigWig']	['ENCFF635OSY.bigWig']	['ENCFF395YMG.bigWig']	['ENCFF179JNA.bigWig']	[]	['ENCFF105CWU.bam', 'ENCFF190NZZ.bam']	['ENCFF619FQR.tar.gz']	['ENCFF769XAK.tar.gz']	['ENCFF754LLZ.tar.gz']	['ENCFF538ZMW.bigWig']	['ENCFF018GSZ.bigWig']	['ENCFF449LGQ.bigWig']	['ENCFF393MAY.bigWig']	[]	[]
ENCSR640PXF	in progress	BPNet-model	GRCh38	ENCSR000BSP	released	REST ChIP-seq protocol v042211.1 on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF765BVE.bigWig']	['ENCFF920MEA.tar.gz']	['ENCFF712QLP.bigWig']	['ENCFF475LBC.tar.gz']	['ENCFF502RCE.bed.gz', 'ENCFF923BAI.bigBed']	['ENCFF720DZM.bigWig', 'ENCFF807CJC.tar.gz']	['ENCFF371PZG.bigWig', 'ENCFF965GRW.tar.gz']	['ENCFF163XBV.tar.gz']	['ENCFF879QDH.bigWig']	['ENCFF566EDG.bigWig']	['ENCFF199RKJ.bigWig']	['ENCFF360UTC.bigWig']	[]	['ENCFF306NZY.bam', 'ENCFF598IYU.bam']	['ENCFF610PIG.tar.gz']	['ENCFF567CGF.tar.gz']	['ENCFF553ZHU.tar.gz']	['ENCFF504ZMC.bigWig']	['ENCFF255WQO.bigWig']	['ENCFF474EJX.bigWig']	['ENCFF052SLF.bigWig']	[]	[]
ENCSR289YVT	in progress	BPNet-model	GRCh38	ENCSR000DMP	released	MYC ChIP-seq on human MCF-7 treated with estrogen	Homo sapiens MCF-7 treated with 100 nM 17β-estradiol for 45 minutes	MCF-7	cell line	ChIP-seq	true	['ENCFF540KIO.bigWig']	['ENCFF700XYU.tar.gz']	['ENCFF451KCC.bigWig']	['ENCFF674AOU.tar.gz']	['ENCFF785RKP.bed.gz', 'ENCFF546NAC.bigBed']	['ENCFF640ULS.bigWig', 'ENCFF705EAP.tar.gz']	['ENCFF201JOA.bigWig', 'ENCFF883BER.tar.gz']	['ENCFF158IXO.tar.gz']	['ENCFF420GCF.bigWig']	['ENCFF234OCY.bigWig']	['ENCFF408GVT.bigWig']	['ENCFF443EVW.bigWig']	[]	['ENCFF402TBT.bam', 'ENCFF557KKE.bam']	['ENCFF988KTY.tar.gz']	['ENCFF583FGC.tar.gz']	['ENCFF616GAT.tar.gz']	['ENCFF829VOE.bigWig']	['ENCFF944BLO.bigWig']	['ENCFF574NAZ.bigWig']	['ENCFF207LGB.bigWig']	[]	[]
ENCSR601QBK	in progress	BPNet-model	GRCh38	ENCSR692RKS	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens HOXA10	HepG2	cell line	ChIP-seq	false	['ENCFF089RCG.bigWig']	['ENCFF563BWB.tar.gz']	['ENCFF687CJS.bigWig']	['ENCFF058QHZ.tar.gz']	['ENCFF877RYL.bed.gz', 'ENCFF022OTA.bigBed']	['ENCFF952QUP.bigWig', 'ENCFF141RLX.tar.gz']	['ENCFF747ZMQ.bigWig', 'ENCFF665YED.tar.gz']	['ENCFF999KWA.tar.gz']	['ENCFF671KZW.bigWig']	['ENCFF804HXL.bigWig']	['ENCFF268BHJ.bigWig']	['ENCFF110TYH.bigWig']	[]	['ENCFF560VQF.bam', 'ENCFF454MYH.bam']	['ENCFF399UXK.tar.gz']	['ENCFF203XGU.tar.gz']	['ENCFF623OXQ.tar.gz']	['ENCFF376TDM.bigWig']	['ENCFF567XAC.bigWig']	['ENCFF233HCT.bigWig']	['ENCFF204HFR.bigWig']	[]	[]
ENCSR619ZLZ	in progress	BPNet-model	GRCh38	ENCSR146UIC	released	ChIP-Seq on WTC11	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens NFYB	WTC11	cell line	ChIP-seq	false	['ENCFF428BUU.bigWig']	['ENCFF642XZO.tar.gz']	['ENCFF997MLB.bigWig']	['ENCFF495QBU.tar.gz']	['ENCFF149GVP.bed.gz', 'ENCFF984JLV.bigBed']	['ENCFF128ZAJ.bigWig', 'ENCFF571FDQ.tar.gz']	['ENCFF624VHA.bigWig', 'ENCFF614ILZ.tar.gz']	['ENCFF746VBG.tar.gz']	['ENCFF580FRY.bigWig']	['ENCFF032ZMZ.bigWig']	['ENCFF608MGY.bigWig']	['ENCFF517WKX.bigWig']	[]	['ENCFF680QOH.bam', 'ENCFF799ATU.bam']	['ENCFF723QTW.tar.gz']	['ENCFF058XLF.tar.gz']	['ENCFF964HXC.tar.gz']	['ENCFF657RSP.bigWig']	['ENCFF767XDG.bigWig']	['ENCFF061GRX.bigWig']	['ENCFF189UYN.bigWig']	[]	[]
ENCSR978WVS	in progress	BPNet-model	GRCh38	ENCSR507RVF	released	ChIP-Seq on WTC11	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens FOXP4	WTC11	cell line	ChIP-seq	false	['ENCFF701DGT.bigWig']	['ENCFF800TCP.tar.gz']	['ENCFF626VQH.bigWig']	['ENCFF566SGO.tar.gz']	['ENCFF936KWB.bed.gz', 'ENCFF058AMM.bigBed']	['ENCFF140SSO.bigWig', 'ENCFF886IXH.tar.gz']	['ENCFF359ERA.bigWig', 'ENCFF251XLR.tar.gz']	['ENCFF921RIF.tar.gz']	['ENCFF571LSY.bigWig']	['ENCFF855MCH.bigWig']	['ENCFF259RVS.bigWig']	['ENCFF052DPE.bigWig']	[]	['ENCFF352WAX.bam', 'ENCFF549DYD.bam']	['ENCFF265UIK.tar.gz']	['ENCFF171OQQ.tar.gz']	['ENCFF577CCG.tar.gz']	['ENCFF380QKC.bigWig']	['ENCFF365ATK.bigWig']	['ENCFF199HCO.bigWig']	['ENCFF696TXE.bigWig']	[]	[]
ENCSR025PEB	in progress	BPNet-model	GRCh38	ENCSR277BXW	released	ZBTB7B ChIP-seq on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF421LWE.bigWig']	['ENCFF950LSL.tar.gz']	['ENCFF412MJV.bigWig']	['ENCFF884VQF.tar.gz']	['ENCFF369UIN.bed.gz', 'ENCFF622ATS.bigBed']	['ENCFF646FHF.bigWig', 'ENCFF172QVJ.tar.gz']	['ENCFF092FXL.bigWig', 'ENCFF629NXA.tar.gz']	['ENCFF862KJI.tar.gz']	['ENCFF054PXK.bigWig']	['ENCFF049EKS.bigWig']	['ENCFF955APV.bigWig']	['ENCFF858IEM.bigWig']	['ENCFF028VVM.bam', 'ENCFF566FCV.bam']	[]	['ENCFF302YFH.tar.gz']	['ENCFF794GRO.tar.gz']	[]	['ENCFF680HFU.bigWig']	['ENCFF044MNM.bigWig']	['ENCFF166VIE.bigWig']	['ENCFF507PSS.bigWig']	[]	[]
ENCSR910XFU	in progress	BPNet-model	GRCh38	ENCSR787CHF	released	ChIP-Seq on K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens USF1	K562	cell line	ChIP-seq	false	['ENCFF231RAQ.bigWig']	['ENCFF007TYI.tar.gz']	['ENCFF723VRZ.bigWig']	['ENCFF436CKC.tar.gz']	['ENCFF311WEA.bed.gz', 'ENCFF605NCO.bigBed']	['ENCFF791UNB.bigWig', 'ENCFF338SAO.tar.gz']	['ENCFF651DFX.bigWig', 'ENCFF308SMN.tar.gz']	['ENCFF669LNB.tar.gz']	['ENCFF766ECS.bigWig']	['ENCFF104DLY.bigWig']	['ENCFF683LWR.bigWig']	['ENCFF986GPF.bigWig']	[]	['ENCFF728YNF.bam', 'ENCFF369OQH.bam']	['ENCFF231BHR.tar.gz']	['ENCFF926GLQ.tar.gz']	['ENCFF357EPW.tar.gz']	['ENCFF385FPH.bigWig']	['ENCFF957TAS.bigWig']	['ENCFF540CCP.bigWig']	['ENCFF768LOL.bigWig']	[]	[]
ENCSR468ULA	in progress	BPNet-model	GRCh38	ENCSR038XIA	released	ZNF444 ChIP-seq on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF301OZE.bigWig']	['ENCFF849HTB.tar.gz']	['ENCFF955SCZ.bigWig']	['ENCFF992LYM.tar.gz']	['ENCFF127UDV.bed.gz', 'ENCFF131OUQ.bigBed']	['ENCFF615XRF.bigWig', 'ENCFF838ZFA.tar.gz']	['ENCFF067CXQ.bigWig', 'ENCFF239UTW.tar.gz']	['ENCFF666SIU.tar.gz']	['ENCFF739ECV.bigWig']	['ENCFF343BLX.bigWig']	['ENCFF533JPZ.bigWig']	['ENCFF004PFE.bigWig']	['ENCFF421JCI.bam', 'ENCFF012HNY.bam']	[]	['ENCFF744VSO.tar.gz']	['ENCFF185RJN.tar.gz']	[]	['ENCFF208SNU.bigWig']	['ENCFF649ZBX.bigWig']	['ENCFF495QYL.bigWig']	['ENCFF552FJI.bigWig']	[]	[]
ENCSR983YAI	in progress	BPNet-model	GRCh38	ENCSR331ORD	released	Chip-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CREB1	HepG2	cell line	ChIP-seq	false	['ENCFF043MXU.bigWig']	['ENCFF679CRL.tar.gz']	['ENCFF475EOF.bigWig']	['ENCFF793ABF.tar.gz']	['ENCFF043QFN.bed.gz', 'ENCFF952VQP.bigBed']	['ENCFF099LFD.bigWig', 'ENCFF976YGV.tar.gz']	['ENCFF467VKC.bigWig', 'ENCFF936WHH.tar.gz']	['ENCFF701RVY.tar.gz']	['ENCFF679LTD.bigWig']	['ENCFF873FYW.bigWig']	['ENCFF534QNR.bigWig']	['ENCFF661VPL.bigWig']	[]	['ENCFF587RCG.bam', 'ENCFF983ZVP.bam']	['ENCFF133DHE.tar.gz']	['ENCFF657FPL.tar.gz']	['ENCFF860KAM.tar.gz']	['ENCFF659UYU.bigWig']	['ENCFF782NTA.bigWig']	['ENCFF998WJS.bigWig']	['ENCFF505TBC.bigWig']	[]	[]
ENCSR864WWR	in progress	BPNet-model	GRCh38	ENCSR000EGG	released	RCOR1 ChIP-seq on human K562 produced by the Snyder lab	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF059UCP.bigWig']	['ENCFF909ZFH.tar.gz']	['ENCFF266DLM.bigWig']	['ENCFF856OND.tar.gz']	['ENCFF060BXG.bed.gz', 'ENCFF736QON.bigBed']	['ENCFF335ZXK.bigWig', 'ENCFF422GVO.tar.gz']	['ENCFF628TIF.bigWig', 'ENCFF394UHF.tar.gz']	['ENCFF193MCE.tar.gz']	['ENCFF665JSM.bigWig']	['ENCFF462DNP.bigWig']	['ENCFF360UUC.bigWig']	['ENCFF015GIS.bigWig']	[]	['ENCFF848HXO.bam', 'ENCFF875NHD.bam']	['ENCFF511WTS.tar.gz']	['ENCFF257BMX.tar.gz']	['ENCFF865NLV.tar.gz']	['ENCFF549JLQ.bigWig']	['ENCFF457VEC.bigWig']	['ENCFF659JER.bigWig']	['ENCFF401OWR.bigWig']	[]	[]
ENCSR584OCJ	in progress	BPNet-model	GRCh38	ENCSR368GJN	released	ChIP-Seq on K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens E2F4	K562	cell line	ChIP-seq	false	['ENCFF966MHO.bigWig']	['ENCFF133ADL.tar.gz']	['ENCFF584FZC.bigWig']	['ENCFF163EIM.tar.gz']	['ENCFF544HYF.bed.gz', 'ENCFF146BJB.bigBed']	['ENCFF991TFP.bigWig', 'ENCFF472VBQ.tar.gz']	['ENCFF808JBO.bigWig', 'ENCFF142RXG.tar.gz']	['ENCFF739OLN.tar.gz']	['ENCFF206POW.bigWig']	['ENCFF835PWE.bigWig']	['ENCFF920YTK.bigWig']	['ENCFF406PAF.bigWig']	[]	['ENCFF019LOO.bam', 'ENCFF390OFV.bam']	['ENCFF265JGF.tar.gz']	['ENCFF536HZW.tar.gz']	['ENCFF775WVN.tar.gz']	['ENCFF041PYC.bigWig']	['ENCFF218XZQ.bigWig']	['ENCFF963ROC.bigWig']	['ENCFF590VUR.bigWig']	[]	[]
ENCSR021XDW	in progress	BPNet-model	GRCh38	ENCSR096OUP	released	eGFP-NFATC4 ChIP-seq on human WTC11	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens NFATC4	WTC11	cell line	ChIP-seq	false	['ENCFF244SVZ.bigWig']	['ENCFF764BDV.tar.gz']	['ENCFF488YQU.bigWig']	['ENCFF866SDI.tar.gz']	['ENCFF920XCC.bed.gz', 'ENCFF987XNU.bigBed']	['ENCFF106DYE.bigWig', 'ENCFF819YEK.tar.gz']	['ENCFF579MTA.bigWig', 'ENCFF733BBW.tar.gz']	['ENCFF302TUM.tar.gz']	['ENCFF304EFN.bigWig']	['ENCFF521RDI.bigWig']	['ENCFF369KIW.bigWig']	['ENCFF224GUD.bigWig']	['ENCFF183SCQ.bam', 'ENCFF290MVS.bam']	[]	['ENCFF416YWU.tar.gz']	['ENCFF248EDF.tar.gz']	['ENCFF293MZK.tar.gz']	['ENCFF274BNF.bigWig']	['ENCFF350VVU.bigWig']	['ENCFF221WPN.bigWig']	['ENCFF408OHB.bigWig']	[]	[]
ENCSR783LKI	in progress	BPNet-model	GRCh38	ENCSR854MCV	released	eGFP-IRF1 ChIP-seq on human K562	Homo sapiens K562 stably expressing IRF1	K562	cell line	ChIP-seq	false	['ENCFF594VPB.bigWig']	['ENCFF222NWW.tar.gz']	['ENCFF741TED.bigWig']	['ENCFF901HNY.tar.gz']	['ENCFF702GVD.bed.gz', 'ENCFF531SVM.bigBed']	['ENCFF779QGC.bigWig', 'ENCFF794QXJ.tar.gz']	['ENCFF143ZNP.bigWig', 'ENCFF722JYA.tar.gz']	['ENCFF311UOD.tar.gz']	['ENCFF479HMX.bigWig']	['ENCFF947DKX.bigWig']	['ENCFF631JAH.bigWig']	['ENCFF320LNN.bigWig']	['ENCFF878HZT.bam', 'ENCFF816RVB.bam']	[]	['ENCFF342XNT.tar.gz']	['ENCFF271WXC.tar.gz']	['ENCFF969PPH.tar.gz']	['ENCFF215NNK.bigWig']	['ENCFF508SNA.bigWig']	['ENCFF144IWS.bigWig']	['ENCFF705HVA.bigWig']	[]	[]
ENCSR275IFD	in progress	BPNet-model	GRCh38	ENCSR125MLR	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF749	HepG2	cell line	ChIP-seq	false	['ENCFF781WNY.bigWig']	['ENCFF850PRU.tar.gz']	['ENCFF623NUZ.bigWig']	['ENCFF268LWW.tar.gz']	['ENCFF646HOU.bed.gz', 'ENCFF932JGN.bigBed']	['ENCFF095HCN.bigWig', 'ENCFF528TUV.tar.gz']	['ENCFF274FRE.bigWig', 'ENCFF484UYI.tar.gz']	['ENCFF443SEL.tar.gz']	['ENCFF884QBD.bigWig']	['ENCFF620ZZB.bigWig']	['ENCFF268BHJ.bigWig']	['ENCFF110TYH.bigWig']	[]	['ENCFF305IWT.bam', 'ENCFF932ICQ.bam']	['ENCFF116ENJ.tar.gz']	['ENCFF850RNV.tar.gz']	['ENCFF986OUK.tar.gz']	['ENCFF583CWS.bigWig']	['ENCFF748ZPI.bigWig']	['ENCFF757CCS.bigWig']	['ENCFF535VDS.bigWig']	[]	[]
ENCSR264QGG	in progress	BPNet-model	GRCh38	ENCSR270KFY	released	CTCF ChIP-seq on dorsolateral prefrontal cortex tissue female adult (90 or above years) originated from dorsolateral prefrontal cortex	Homo sapiens with Cognitive impairment; dorsolateral prefrontal cortex tissue female adult (90 or above years)	dorsolateral prefrontal cortex	tissue	ChIP-seq	false	['ENCFF894QFQ.bigWig']	['ENCFF398HJL.tar.gz']	['ENCFF304RBK.bigWig']	['ENCFF673CZS.tar.gz']	['ENCFF750SDT.bed.gz', 'ENCFF861NLR.bigBed']	['ENCFF815EOX.bigWig', 'ENCFF039KMV.tar.gz']	['ENCFF538IAC.bigWig', 'ENCFF366SIS.tar.gz']	['ENCFF062VSN.tar.gz']	['ENCFF407BMQ.bigWig']	['ENCFF085WNK.bigWig']	['ENCFF384ZNM.bigWig']	['ENCFF312EEF.bigWig']	[]	['ENCFF828ZYV.bam']	['ENCFF652MTF.tar.gz']	['ENCFF912RQG.tar.gz', 'ENCFF751QIP.tar.gz']	['ENCFF336ZTQ.tar.gz']	['ENCFF096ULX.bigWig']	['ENCFF854XIV.bigWig']	['ENCFF024UQA.bigWig']	['ENCFF218ILE.bigWig']	[]	[]
ENCSR680JFT	in progress	BPNet-model	GRCh38	ENCSR087HFN	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF230	HepG2	cell line	ChIP-seq	false	['ENCFF826LAD.bigWig']	['ENCFF331VIY.tar.gz']	['ENCFF075EZW.bigWig']	['ENCFF363EZU.tar.gz']	['ENCFF996KLF.bed.gz', 'ENCFF419NHK.bigBed']	['ENCFF441SJC.bigWig', 'ENCFF489QKQ.tar.gz']	['ENCFF103GFO.bigWig', 'ENCFF439CTT.tar.gz']	['ENCFF139AVB.tar.gz']	['ENCFF423DGA.bigWig']	['ENCFF781ULU.bigWig']	['ENCFF490NWM.bigWig']	['ENCFF388KIY.bigWig']	[]	['ENCFF396QST.bam', 'ENCFF454SUI.bam']	['ENCFF867GVK.tar.gz']	['ENCFF262PYS.tar.gz']	['ENCFF223ZRP.tar.gz']	['ENCFF787AKX.bigWig']	['ENCFF078VOP.bigWig']	['ENCFF145CUM.bigWig']	['ENCFF747OBJ.bigWig']	[]	[]
ENCSR941WDL	in progress	BPNet-model	GRCh38	ENCSR000EDF	released	IRF3 ChIP-seq on human HeLa-S3	Homo sapiens HeLa-S3	HeLa-S3	cell line	ChIP-seq	false	['ENCFF599OOR.bigWig']	['ENCFF126UDO.tar.gz']	['ENCFF458LXH.bigWig']	['ENCFF454SAN.tar.gz']	['ENCFF562NOO.bed.gz', 'ENCFF444URS.bigBed']	['ENCFF305TXW.bigWig', 'ENCFF211FQZ.tar.gz']	['ENCFF630EXR.bigWig', 'ENCFF993TKX.tar.gz']	['ENCFF245CIO.tar.gz']	['ENCFF949PGP.bigWig']	['ENCFF423WCN.bigWig']	['ENCFF381SHR.bigWig']	['ENCFF069WKV.bigWig']	[]	['ENCFF529XKN.bam', 'ENCFF714LSG.bam']	['ENCFF220PJZ.tar.gz']	['ENCFF993AAW.tar.gz']	['ENCFF050EHN.tar.gz']	['ENCFF860TXR.bigWig']	['ENCFF595QHI.bigWig']	['ENCFF898LGS.bigWig']	['ENCFF654ZRY.bigWig']	[]	[]
ENCSR695QWL	in progress	BPNet-model	GRCh38	ENCSR463GOT	released	eGFP-ESR1 ChIP-seq on human MCF-7	Homo sapiens MCF-7 genetically modified (insertion) using CRISPR targeting H. sapiens ESR1	MCF-7	cell line	ChIP-seq	false	['ENCFF581HIF.bigWig']	['ENCFF757HPK.tar.gz']	['ENCFF840RBN.bigWig']	['ENCFF871EWB.tar.gz']	['ENCFF466RJG.bed.gz', 'ENCFF513HHU.bigBed']	['ENCFF816CIR.bigWig', 'ENCFF144LUB.tar.gz']	['ENCFF665WXU.bigWig', 'ENCFF063YEW.tar.gz']	['ENCFF675WEH.tar.gz']	['ENCFF764RLA.bigWig']	['ENCFF873XFQ.bigWig']	['ENCFF643JAC.bigWig']	['ENCFF828LIN.bigWig']	['ENCFF063JMY.bam', 'ENCFF365BIT.bam']	[]	['ENCFF050HGU.tar.gz']	['ENCFF413ILJ.tar.gz']	['ENCFF106DQT.tar.gz']	['ENCFF122GOM.bigWig']	['ENCFF582GMM.bigWig']	['ENCFF209LAY.bigWig']	['ENCFF052QSG.bigWig']	[]	[]
ENCSR841NXD	in progress	BPNet-model	GRCh38	ENCSR604UJV	released	Chip-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens IRF2	HepG2	cell line	ChIP-seq	false	['ENCFF382NTC.bigWig']	['ENCFF203ELE.tar.gz']	['ENCFF618LRC.bigWig']	['ENCFF191DYQ.tar.gz']	['ENCFF339UIW.bed.gz', 'ENCFF772MMG.bigBed']	['ENCFF187NJK.bigWig', 'ENCFF728NIE.tar.gz']	['ENCFF533DDZ.bigWig', 'ENCFF137GWN.tar.gz']	['ENCFF364FJV.tar.gz']	['ENCFF943IDV.bigWig']	['ENCFF383EIB.bigWig']	['ENCFF885YDL.bigWig']	['ENCFF135SIX.bigWig']	[]	['ENCFF380ZDY.bam', 'ENCFF592RNJ.bam']	['ENCFF563HXO.tar.gz']	['ENCFF802QSC.tar.gz']	['ENCFF740ZHQ.tar.gz']	['ENCFF758YOU.bigWig']	['ENCFF112LUZ.bigWig']	['ENCFF086FAK.bigWig']	['ENCFF738JLV.bigWig']	[]	[]
ENCSR030AIJ	in progress	BPNet-model	GRCh38	ENCSR775EQV	released	eGFP-ZNF583 ChIP-seq on human K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF583	K562	cell line	ChIP-seq	false	['ENCFF430VSP.bigWig']	['ENCFF198CJW.tar.gz']	['ENCFF056WSJ.bigWig']	['ENCFF658ILN.tar.gz']	['ENCFF259UAA.bed.gz', 'ENCFF221HVR.bigBed']	['ENCFF553VQR.bigWig', 'ENCFF628LVF.tar.gz']	['ENCFF521WYN.bigWig', 'ENCFF510WAH.tar.gz']	['ENCFF710QNQ.tar.gz']	['ENCFF876GFZ.bigWig']	['ENCFF529NWG.bigWig']	['ENCFF548XPP.bigWig']	['ENCFF150IKM.bigWig']	['ENCFF043JBP.bam', 'ENCFF838GRU.bam']	[]	['ENCFF325QOP.tar.gz']	['ENCFF540OMS.tar.gz']	[]	['ENCFF654ZGY.bigWig']	['ENCFF263YRM.bigWig']	['ENCFF424SWR.bigWig']	['ENCFF886ECJ.bigWig']	[]	[]
ENCSR071NXN	in progress	BPNet-model	GRCh38	ENCSR178DEG	released	eGFP-NR2C1 ChIP-seq on human K562	Homo sapiens K562 stably expressing NR2C1	K562	cell line	ChIP-seq	false	['ENCFF596DWC.bigWig']	['ENCFF090AJO.tar.gz']	['ENCFF211REZ.bigWig']	['ENCFF371VOW.tar.gz']	['ENCFF531ZLT.bed.gz', 'ENCFF370VYE.bigBed']	['ENCFF078YKN.bigWig', 'ENCFF071QWP.tar.gz']	['ENCFF817KQG.bigWig', 'ENCFF130ZIH.tar.gz']	['ENCFF943UUW.tar.gz']	['ENCFF042PPA.bigWig']	['ENCFF300FQH.bigWig']	['ENCFF521ZOM.bigWig']	['ENCFF115KMU.bigWig']	['ENCFF963UPX.bam', 'ENCFF154AXE.bam']	[]	['ENCFF370MRD.tar.gz']	['ENCFF301BXW.tar.gz']	['ENCFF041XIL.tar.gz']	['ENCFF425GTN.bigWig']	['ENCFF020VOD.bigWig']	['ENCFF522YSP.bigWig']	['ENCFF619LHR.bigWig']	[]	[]
ENCSR882YDF	in progress	BPNet-model	GRCh38	ENCSR427BBI	released	MLLT1 ChIP-seq on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF276UYD.bigWig']	['ENCFF652LRM.tar.gz']	['ENCFF159SDF.bigWig']	['ENCFF488UUX.tar.gz']	['ENCFF379OCQ.bed.gz', 'ENCFF482LME.bigBed']	['ENCFF591MUC.bigWig', 'ENCFF472CCY.tar.gz']	['ENCFF335WLA.bigWig', 'ENCFF086SGQ.tar.gz']	['ENCFF114SGR.tar.gz']	['ENCFF773NWC.bigWig']	['ENCFF462OQL.bigWig']	['ENCFF955APV.bigWig']	['ENCFF858IEM.bigWig']	['ENCFF480XIZ.bam', 'ENCFF712MXY.bam']	[]	['ENCFF230LJN.tar.gz']	['ENCFF516HXI.tar.gz']	['ENCFF753LAR.tar.gz']	['ENCFF861QAZ.bigWig']	['ENCFF450CHH.bigWig']	['ENCFF462ZRK.bigWig']	['ENCFF106NZN.bigWig']	[]	[]
ENCSR896AXL	in progress	BPNet-model	GRCh38	ENCSR000DNI	released	CTCF ChIP-seq on human spleen	Homo sapiens spleen tissue female adult (20 years) and female adult (30 years)	spleen	tissue	ChIP-seq	false	['ENCFF789BIR.bigWig']	['ENCFF182GTM.tar.gz']	['ENCFF363QIE.bigWig']	['ENCFF819UZM.tar.gz']	['ENCFF352HMF.bed.gz', 'ENCFF245WFO.bigBed']	['ENCFF885CRY.bigWig', 'ENCFF532JWV.tar.gz']	['ENCFF691QSQ.bigWig', 'ENCFF765UCQ.tar.gz']	['ENCFF271DJG.tar.gz']	['ENCFF330JVW.bigWig']	['ENCFF080BXI.bigWig']	['ENCFF418LBT.bigWig']	['ENCFF932YTD.bigWig']	[]	['ENCFF265PAZ.bam', 'ENCFF148FNQ.bam']	['ENCFF513PSE.tar.gz']	['ENCFF449IWL.tar.gz']	['ENCFF240AON.tar.gz']	['ENCFF135WLY.bigWig']	['ENCFF189SSA.bigWig']	['ENCFF139SLI.bigWig']	['ENCFF024IGK.bigWig']	[]	[]
ENCSR107IRQ	in progress	BPNet-model	GRCh38	ENCSR610RKF	released	EP300 ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 5 hours.	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 5 hours	A549	cell line	ChIP-seq	true	['ENCFF506YAV.bigWig']	['ENCFF149ZNV.tar.gz']	['ENCFF512AFI.bigWig']	['ENCFF308HQU.tar.gz']	['ENCFF836QMW.bed.gz', 'ENCFF642CJH.bigBed']	['ENCFF916ETV.bigWig', 'ENCFF165LHH.tar.gz']	['ENCFF639NDF.bigWig', 'ENCFF147TLS.tar.gz']	['ENCFF549QCL.tar.gz']	['ENCFF833VPA.bigWig']	['ENCFF763MXR.bigWig']	['ENCFF619TBU.bigWig']	['ENCFF593SCV.bigWig']	[]	['ENCFF543UVD.bam', 'ENCFF467LOG.bam', 'ENCFF111HUQ.bam']	['ENCFF583KQE.tar.gz']	['ENCFF135JFT.tar.gz']	['ENCFF659JRK.tar.gz']	['ENCFF618GTE.bigWig']	['ENCFF038VJW.bigWig']	['ENCFF770CGB.bigWig']	['ENCFF017VZB.bigWig']	[]	[]
