Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile file (plus strand)	Annotation observed signal profile file (minus strand)	Annotation observed control profile file (plus strand)	Annotation observed control profile file (minus strand)	Annotation training and test regions file	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR549TOP	in progress	ENCSR594NSU	released	false	male adult (37 years)		UBERON:0011907	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF994BRY.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF129ZIB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF106HKN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF124UAO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF969ZEH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF201DYB.tar.gz	""	ENCFF769MPU
ENCSR549XOW	in progress	ENCSR057DTZ	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB11	GM12878 immortalized cell line stably expressing C-terminal eGFP-ZBTB11 fusion protein.	EFO:0002784	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF680XTG.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF756UDV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF707COU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF035BQG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF610QRL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF889AQY.tar.gz	ENCFF044JTQ,ENCFF897HIU	""
ENCSR550FAZ	in progress	ENCSR905BNO	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF816	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF926XFM.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF892HUC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF792ASL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF449CJV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF225AZM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF313LSY.tar.gz	""	ENCFF196NHR,ENCFF151AGZ
ENCSR550FVE	in progress	ENCSR773JBP	released	false	female adult (53 years)	CTCF ChIP-seq on human esophagus squamous epithelium	UBERON:0006920	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF922JCM.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF571JZJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF797CZM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF700KUW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF081AOQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF267ESG.tar.gz	ENCFF828JJG	""
ENCSR550GGT	in progress	ENCSR000EZX	released	true	treated with interferon alpha for 6.0 hours	JUN ChIP-seq on human K562 treated with IFNa for 6 hours	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF969GNU.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF792XZA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF743SIL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF918ZIM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF411CQO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF415RRE.tar.gz	""	ENCFF276GCC,ENCFF946JAW
ENCSR550HTU	in progress	ENCSR000DIS	released	false	129	PSU mouse G1E CTCF ChIP-seq	EFO:0002034	cell line	mm10	Mus musculus	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF016MQS.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF258FBN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF219JLZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF407LJC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF382FFD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF461IWX.tar.gz	""	ENCFF516TMA,ENCFF384NLC
ENCSR551ASX	in progress	ENCSR048PPE	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens STAT6	ChIP-Seq on WTC11	EFO:0009747	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF967NEL.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF169ANM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF493DEH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF149YVK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF240MSS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF400ZGK.tar.gz	""	ENCFF290BUB,ENCFF879LIL
ENCSR551DUM	in progress	ENCSR338UQU	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens STAT6	ChIP-Seq on K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF770YJX.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF580WZX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF086XTF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF878YSP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF909JMW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF494ERL.tar.gz	""	ENCFF268YMC,ENCFF545CXH
ENCSR551FFQ	in progress	ENCSR000DMC	released	false	male adult (22 years) male adult (35 years) male adult (27 years)	CTCF ChIP-seq on human kidney	UBERON:0002113	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF161CEQ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF582XIB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF669ETU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF274PDY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF864RJD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF543JCT.tar.gz	""	ENCFF793CZW,ENCFF988YKT,ENCFF827EQD
ENCSR551HZJ	in progress	ENCSR263DFP	released	false	stably expressing C-terminal eGFP-tagged PBX2	eGFP-PBX2 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF559KNJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF327ZUP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF381JBG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF294IZK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF072CNX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF112CAL.tar.gz	ENCFF552ZPV,ENCFF074TMJ	""
ENCSR551ICV	in progress	ENCSR592ZQB	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens IRF2	ChIP-Seq on WTC11	EFO:0009747	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF826QVN.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF186IOC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF343FDT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF608MGY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF517WKX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF820YSJ.tar.gz	""	ENCFF894LBZ,ENCFF192AZT
ENCSR551IVT	in progress	ENCSR000DWX	released	false	female	CTCF ChIP-seq on human NHEK	CL:0000312	primary cell	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF776LKT.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF920EUI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF316IMG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF497DGP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF748ECZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF932ZJW.tar.gz	""	ENCFF419DDE,ENCFF599PCZ
ENCSR551LHV	in progress	ENCSR797SWM	released	false		MITF ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF670KVM.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF909JON.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF156CWM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF886JOD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF470LWC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF452SCE.tar.gz	ENCFF926XVX,ENCFF811PIE	""
ENCSR551MYW	in progress	ENCSR875NEW	released	false	female adult (53 years)		UBERON:0001323	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF620LZA.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF484YDS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF315NQO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF506BFE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF126SRY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF908TDO.tar.gz	""	ENCFF219SHY
ENCSR551RQP	in progress	ENCSR856JJB	released	false		CTCF ChIP-seq on human RWPE2	EFO:0007610	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF276NOJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF970KZY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF732TTN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF622LHT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF359ZFQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF455LIT.tar.gz	ENCFF220DKQ,ENCFF186PNC	""
ENCSR551SZJ	in progress	ENCSR678KUJ	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZFP91	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF353YUY.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF521JSQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF189WBM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF761UTX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF259WLQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF410IPM.tar.gz	""	ENCFF225SJI,ENCFF255JQD
ENCSR553GPB	in progress	ENCSR601OGE	released	false	male adult (32 years) with nonobstructive coronary artery disease	Chip-Seq on HNF4A-human	UBERON:0002107	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF850YMX.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF787PXG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF433WNE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF058CKB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF960ZVJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF077BUO.tar.gz	""	ENCFF702BIU,ENCFF386STF
ENCSR553IEU	in progress	ENCSR000EZE	released	false		FOS ChIP-seq on human HeLa-S3	EFO:0002791	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF583PLH.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF884FZM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF949TXT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF771YRH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF255NSG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF690CVX.tar.gz	""	ENCFF516WJF,ENCFF194CSR
ENCSR553MNJ	in progress	ENCSR000ECA	released	false		JUN ChIP-seq on human H1-hESC	EFO:0003042	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF836IPF.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF978KIE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF642VKJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF475GOO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF717PXN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF242RUR.tar.gz	""	ENCFF017UXF,ENCFF492SCZ
ENCSR553ZIE	in progress	ENCSR639UKJ	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens MLLT10	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF790OXQ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF560QSS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF118YHT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF176GBD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF904RNG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF732YWG.tar.gz	""	ENCFF064QRB,ENCFF301SYU
ENCSR554MLU	in progress	ENCSR409PMR	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZBED4	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF086BHT.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF730SKY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF985DDP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF885YDL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF135SIX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF249PTE.tar.gz	""	ENCFF009ETF,ENCFF119RXN
ENCSR554NXB	in progress	ENCSR946WBN	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens JUN	ChIP-Seq on K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF657VOD.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF547ZFL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF783MMZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF683LWR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF986GPF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF017EYA.tar.gz	""	ENCFF896LXF,ENCFF863YSC
ENCSR554XIW	in progress	ENCSR981BHT	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ADNP	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF999SHR.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF405WJI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF750CBV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF588PUM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF035KEN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF018BHB.tar.gz	""	ENCFF290IRI,ENCFF354TKO
ENCSR554ZAC	in progress	ENCSR000EDO	released	false		CEBPZ ChIP-seq on human HepG2 produced by the Snyder lab	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF190WJB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF882IXI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF169IPY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF126KBZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF940QXJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF592CLT.tar.gz	""	ENCFF757CGR,ENCFF725CYC
ENCSR554ZTS	in progress	ENCSR448TVS	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens FOSL2	A549 immortalized cell line stably expressing C-terminal eGFP-FOSL2 fusion protein.	EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF784SQJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF968QRK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF193HNM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF487KYI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF970TWG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF211OZY.tar.gz	ENCFF319YEI,ENCFF086IDH	""
ENCSR555FEF	in progress	ENCSR701SED	released	false	treated with 6 μM all-trans-retinoic acid for 48 hours genetically modified (insertion) using CRISPR targeting H. sapiens OSR1	eGFP-OSR1 ChIP-seq on human SK-N-SH	EFO:0003072	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF896HVB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF755BYL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF657URX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF285QEU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF094OMU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF553SPI.tar.gz	ENCFF264TLU,ENCFF790FFT	""
ENCSR555TGG	in progress	ENCSR654PQY	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF616	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF087MZB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF273FXM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF056COT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF766TIF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF044TMS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF688PMS.tar.gz	""	ENCFF256CND,ENCFF451ZYB
ENCSR556WFV	in progress	ENCSR586DEH	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZFP1	Chip-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF878LSJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF138XLO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF150BBN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF885YDL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF135SIX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF528QAT.tar.gz	""	ENCFF960LFQ,ENCFF590SRA
ENCSR556YNF	in progress	ENCSR000BLD	released	false		RAD21 ChIP-seq protocol v041610.2 on human H1-hESC	EFO:0003042	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF470XHV.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF237NAA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF151ILH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF608KUY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF547QWN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF728UZA.tar.gz	""	ENCFF518JQW,ENCFF581MGA
ENCSR557FKB	in progress	ENCSR232OFD	released	false	female adult (51 years)		UBERON:0006631	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF675NUR.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF747NDO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF673CQS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF634VJP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF901RGO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF493QMS.tar.gz	""	ENCFF628NWO
ENCSR557GJG	in progress	ENCSR864WKA	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB34	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF488VNC.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF515XLX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF809FRJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF076THF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF616UFV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF655UET.tar.gz	""	ENCFF395AEL,ENCFF086CQD
ENCSR557JRW	in progress	ENCSR964ZJC	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF547	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF902QJE.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF935BSL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF744QXK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF149TVR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF924DYI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF820VHM.tar.gz	""	ENCFF825CJW,ENCFF995GIM
ENCSR557NZD	in progress	ENCSR000EWS	released	false		GATA3 ChIP-seq on human MCF-7	EFO:0001203	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF427VBR.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF302HEO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF157VRK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF608HYG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF090KUY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF054XVI.tar.gz	""	ENCFF993ABR,ENCFF111KTT
ENCSR557WYH	in progress	ENCSR658WFQ	released	false		NCOA1 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF273CYI.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF175FJG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF138MXY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF701QRI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF271SBY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF288KZA.tar.gz	ENCFF735MZS,ENCFF764UUY	""
ENCSR558EIT	in progress	ENCSR000BVG	released	false		RXRA ChIP-seq protocol v042211.1 on human SK-N-SH	EFO:0003072	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF100XNS.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF859QVS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF224YXJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF176GBD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF904RNG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF101JWM.tar.gz	""	ENCFF208UIP,ENCFF193YUX
ENCSR558JOE	in progress	ENCSR307YJU	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens MYNN	eGFP-MYNN ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF046IUG.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF598GAZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF226OKF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF564YAI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF540QKI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF935WQS.tar.gz	ENCFF975SSN,ENCFF853SFF	""
ENCSR558MKV	in progress	ENCSR756ZKG	released	false			EFO:0006710	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF026AGX.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF969PRW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF673LXS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF185OCE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF749QUC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF692YGJ.tar.gz	""	ENCFF838QFC,ENCFF663YHL
ENCSR558VFK	in progress	ENCSR706YUH	released	false		SMARCA5 ChIP-seq on human GM12878	EFO:0002784	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF045WOJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF075CQK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF214YHL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF116XKN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF121NQX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF295CFL.tar.gz	ENCFF998MCZ,ENCFF070IQU	""
ENCSR559XRG	in progress	ENCSR978LQC	released	false	male adult (54 years)	Chip-Seq on sigmoid colon	UBERON:0001159	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF383GSI.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF275KDC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF540YRP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF832QXE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF158YLR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF054WZZ.tar.gz	ENCFF791BYL	""
ENCSR560XBS	in progress	ENCSR853VWZ	released	true	treated with 100 nM dexamethasone (agonist) for 6 hours	RAD21 ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 6 hours.	EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF141QGB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF261MHZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF558SGX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF683LSU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF375KHM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF610MAG.tar.gz	""	ENCFF508RVO,ENCFF511YFP,ENCFF620BIM
