Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile file (plus strand)	Annotation observed signal profile file (minus strand)	Annotation observed control profile file (plus strand)	Annotation observed control profile file (minus strand)	Annotation training and test regions file	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR151HUS	in progress	ENCSR084RDK	released	false			EFO:0002167	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF514OVA.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF371VQO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF142ALG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF869CXB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF579CNN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF545XUT.tar.gz	""	ENCFF054WJA,ENCFF810VLJ
ENCSR152EKL	in progress	ENCSR000BNS	released	false		FOSL1 ChIP-seq protocol v041610.2 on human H1-hESC	EFO:0003042	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF270NKX.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF290LPH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF247CNT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF608KUY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF547QWN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF862ABU.tar.gz	""	ENCFF196BQR,ENCFF296OYJ
ENCSR152ILV	in progress	ENCSR987KYK	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF717	eGFP-ZNF717 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF800ARK.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF522IJF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF794JQE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF474MCC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF439AOK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF752IQY.tar.gz	ENCFF651OIJ,ENCFF485DLT	""
ENCSR152KNT	in progress	ENCSR595BPR	released	false	female adult (51 years)		UBERON:0002106	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF638UQL.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF284OZT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF810IVG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF130BNS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF845XGZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF827BDV.tar.gz	""	ENCFF577RSR,ENCFF885VAZ
ENCSR152KSC	in progress	ENCSR832TWW	released	false	male adult (82 years)	CTCF TF ChIP-seq on middle frontal area 46 tissue male adult (82 years).	UBERON:0009834	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF385KQI.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF313ZKY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF278UJT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF348ZQB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF345IQP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF022RVS.tar.gz	""	ENCFF110LMP
ENCSR152PHP	in progress	ENCSR935UQL	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens MECOM	MECOM ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF959CRE.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF042OTH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF276DPW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF238GMK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF828KWZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF397OAQ.tar.gz	ENCFF952NXU,ENCFF695XAF	""
ENCSR152SFP	in progress	ENCSR000BQH	released	true	treated with 0.02 percent ethanol for 1 hour	BCL3 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF498WCT.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF118VXP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF953YPU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF073BQO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF781JYE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF997PXM.tar.gz	""	ENCFF872BHK,ENCFF307BJG
ENCSR153EJY	in progress	ENCSR180MUU	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens RREB1	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF954FUW.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF287EPY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF090ZNF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF885YDL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF135SIX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF211BNR.tar.gz	""	ENCFF913DQG,ENCFF018TRH
ENCSR153HEZ	in progress	ENCSR524BUE	released	false		RAD51 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF885BVR.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF457WDO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF645GOL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF701QRI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF271SBY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF076FYP.tar.gz	ENCFF622SBF,ENCFF333RHV	""
ENCSR153LMB	in progress	ENCSR356ECR	released	false		RBM22 ChIP-seq in HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF582VEW.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF192NGY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF082UXA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF743TXK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF503LXC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF626LAE.tar.gz	""	ENCFF157JXC,ENCFF671OZB
