Annotation accession	Annotation status	Annotation type	Genome assembly	Experiment accession	Experiment status	Description	Biosample summary	Biosample term name	Biosample classification	Assay name	Perturbed	training and test regions	observed signal profile	models	alignments	unfiltered alignments	selected regions for predicted signal and sequence contribution scores	predicted signal profile	bias-corrected predicted signal profile	profile sequence contribution scores	counts sequence contribution scores	bias models	sequence motifs	sequence motifs instances	normalized observed signal profile	normalized predicted signal profile	normalized bias-corrected predicted signal profile	sequence motifs report
ENCSR297AUU	in progress	ChromBPNet-model	GRCh38	ENCSR888GBS	released		Homo sapiens muscle of arm tissue male embryo (96 days)	muscle of arm	tissue	DNase-seq	false	['ENCFF779VLW.tar.gz']	['ENCFF074QDR.bigWig']	['ENCFF533GYC.tar.gz']	[]	['ENCFF202XOO.bam']	['ENCFF174HCH.bed.gz', 'ENCFF345TON.bigBed']	['ENCFF884GRJ.bigWig', 'ENCFF979YNO.tar.gz']	['ENCFF528DVP.bigWig', 'ENCFF809KID.tar.gz']	['ENCFF683KPC.tar.gz', 'ENCFF869NYU.bigWig']	['ENCFF291CHM.tar.gz', 'ENCFF640WEM.bigWig']	['ENCFF406MYJ.tar.gz']	['ENCFF268YCH.tar.gz']	['ENCFF499JSV.tar.gz']	['ENCFF667AWE.bigWig']	['ENCFF729ATM.bigWig']	['ENCFF220WZZ.bigWig']	['ENCFF256IGW.tar.gz']
ENCSR728PKQ	in progress	ChromBPNet-model	GRCh38	ENCSR271QSV	released		Homo sapiens common myeloid progenitor, CD34-positive male adult	common myeloid progenitor, CD34-positive	primary cell	DNase-seq	false	['ENCFF036NHH.tar.gz']	['ENCFF153IFX.bigWig']	['ENCFF493UPX.tar.gz']	[]	['ENCFF608DQL.bam']	['ENCFF434SYB.bed.gz', 'ENCFF106QVY.bigBed']	['ENCFF034UKM.bigWig', 'ENCFF331VFW.tar.gz']	['ENCFF238TNA.bigWig', 'ENCFF324ZNM.tar.gz']	['ENCFF063UFD.tar.gz', 'ENCFF999ACG.bigWig']	['ENCFF545OFC.tar.gz', 'ENCFF707YVY.bigWig']	['ENCFF643XIN.tar.gz']	['ENCFF328APP.tar.gz']	['ENCFF679KZA.tar.gz']	['ENCFF620PUB.bigWig']	['ENCFF900WEA.bigWig']	['ENCFF379KKE.bigWig']	['ENCFF455NOS.tar.gz']
ENCSR338TSY	in progress	ChromBPNet-model	GRCh38	ENCSR752NTF	released		Homo sapiens right renal pelvis tissue male embryo (105 days)	right renal pelvis	tissue	DNase-seq	false	['ENCFF956VZM.tar.gz']	['ENCFF732CAB.bigWig']	['ENCFF063TYJ.tar.gz']	[]	['ENCFF611NTP.bam']	['ENCFF579ZFH.bed.gz', 'ENCFF101QFI.bigBed']	['ENCFF017YZF.bigWig', 'ENCFF321BIA.tar.gz']	['ENCFF908HNU.bigWig', 'ENCFF533QGN.tar.gz']	['ENCFF956AMF.bigWig', 'ENCFF495DHQ.tar.gz']	['ENCFF715VIS.bigWig', 'ENCFF724JIB.tar.gz']	['ENCFF766NNL.tar.gz']	['ENCFF472TKX.tar.gz']	['ENCFF445ITD.tar.gz']	['ENCFF756GAO.bigWig']	['ENCFF929AXW.bigWig']	['ENCFF421HDX.bigWig']	['ENCFF542HTG.tar.gz']
ENCSR078CVS	in progress	ChromBPNet-model	GRCh38	ENCSR685ZMP	released	ATAC-seq on human right lobe of liver	Homo sapiens right lobe of liver tissue female adult (41 years)	right lobe of liver	tissue	ATAC-seq	false	['ENCFF843PKK.tar.gz']	['ENCFF723IQA.bigWig']	['ENCFF571BEK.tar.gz']	['ENCFF989IZF.bam']	[]	['ENCFF741FUQ.bed.gz', 'ENCFF914IBL.bigBed']	['ENCFF921GLB.bigWig', 'ENCFF366WUQ.tar.gz']	['ENCFF359LZR.bigWig', 'ENCFF903ODQ.tar.gz']	['ENCFF048MAY.bigWig', 'ENCFF557GZN.tar.gz']	['ENCFF564PTJ.bigWig', 'ENCFF684GUL.tar.gz']	['ENCFF427ZIR.tar.gz']	['ENCFF041IFG.tar.gz']	['ENCFF049PDM.tar.gz']	['ENCFF012RLZ.bigWig']	['ENCFF657KNP.bigWig']	['ENCFF136FHF.bigWig']	['ENCFF256WFV.tar.gz']
ENCSR980GNO	in progress	ChromBPNet-model	GRCh38	ENCSR555ZDH	released	ATAC-seq on human lower lobe of left lung	Homo sapiens lower lobe of left lung tissue male adult (60 years)	lower lobe of left lung	tissue	ATAC-seq	false	['ENCFF513BJL.tar.gz']	['ENCFF395KQN.bigWig']	['ENCFF198XCC.tar.gz']	['ENCFF517CVR.bam']	[]	['ENCFF338XON.bed.gz', 'ENCFF875FFC.bigBed']	['ENCFF087HJZ.tar.gz', 'ENCFF382AQP.bigWig']	['ENCFF786SWV.bigWig', 'ENCFF472BNL.tar.gz']	['ENCFF926NIK.bigWig', 'ENCFF403KUN.tar.gz']	['ENCFF997ODY.bigWig', 'ENCFF869ODQ.tar.gz']	['ENCFF427ZIR.tar.gz']	['ENCFF456XCF.tar.gz']	['ENCFF402HRQ.tar.gz']	['ENCFF820PDU.bigWig']	['ENCFF182WOF.bigWig']	['ENCFF811ZFL.bigWig']	['ENCFF056SUG.tar.gz']
ENCSR122DAC	in progress	ChromBPNet-model	GRCh38	ENCSR268QCH	released		Homo sapiens right renal cortex interstitium tissue male embryo (105 days)	right renal cortex interstitium	tissue	DNase-seq	false	['ENCFF088ZJH.tar.gz']	['ENCFF544JUV.bigWig']	['ENCFF901KXI.tar.gz']	[]	['ENCFF365PIK.bam']	['ENCFF696HIN.bed.gz', 'ENCFF595IJC.bigBed']	['ENCFF859QIJ.bigWig', 'ENCFF556ZFM.tar.gz']	['ENCFF116JVE.bigWig', 'ENCFF854NDC.tar.gz']	['ENCFF021UJA.bigWig', 'ENCFF498PZJ.tar.gz']	['ENCFF046YRN.bigWig', 'ENCFF193MKK.tar.gz']	['ENCFF498LEA.tar.gz']	['ENCFF798YVH.tar.gz']	['ENCFF843VDM.tar.gz']	['ENCFF872AMZ.bigWig']	['ENCFF818KME.bigWig']	['ENCFF561NVP.bigWig']	['ENCFF091MDT.tar.gz']
ENCSR726OHR	in progress	ChromBPNet-model	GRCh38	ENCSR258RSH	released		Homo sapiens T-cell male adult (38 years)	T-cell	primary cell	ATAC-seq	false	['ENCFF065XYU.tar.gz']	['ENCFF036ADT.bigWig']	['ENCFF501OTN.tar.gz']	['ENCFF756OUH.bam']	[]	['ENCFF524UEP.bed.gz', 'ENCFF184TAL.bigBed']	['ENCFF039ANL.bigWig', 'ENCFF718OBE.tar.gz']	['ENCFF704TOB.bigWig', 'ENCFF421WTB.tar.gz']	['ENCFF487KHU.bigWig', 'ENCFF047WDB.tar.gz']	['ENCFF736HNI.bigWig', 'ENCFF882CYH.tar.gz']	['ENCFF881REW.tar.gz']	['ENCFF277SRW.tar.gz']	['ENCFF573PDW.tar.gz']	['ENCFF412JYK.bigWig']	['ENCFF483UKN.bigWig']	['ENCFF093NFU.bigWig']	['ENCFF852TTN.tar.gz']
ENCSR179QCR	in progress	ChromBPNet-model	GRCh38	ENCSR158KCS	released	ATAC-seq on human spleen	Homo sapiens spleen tissue female adult (61 years)	spleen	tissue	ATAC-seq	false	['ENCFF115RGX.tar.gz']	['ENCFF998UZK.bigWig']	['ENCFF997JQU.tar.gz']	['ENCFF680NJO.bam']	[]	['ENCFF115SIA.bed.gz', 'ENCFF238QBT.bigBed']	['ENCFF244LYV.tar.gz', 'ENCFF164VFE.bigWig']	['ENCFF712UWH.bigWig', 'ENCFF608ZQY.tar.gz']	['ENCFF619ZJD.bigWig', 'ENCFF628COP.tar.gz']	['ENCFF565GQS.bigWig', 'ENCFF989CFI.tar.gz']	['ENCFF427ZIR.tar.gz']	['ENCFF569VUQ.tar.gz']	['ENCFF245EHJ.tar.gz']	['ENCFF901DIL.bigWig']	['ENCFF719YGV.bigWig']	['ENCFF980RXW.bigWig']	['ENCFF257IJW.tar.gz']
ENCSR630WHT	in progress	ChromBPNet-model	GRCh38	ENCSR000ENF	released	UW human HBVP DNase-seq	Homo sapiens brain pericyte	brain pericyte	primary cell	DNase-seq	false	['ENCFF334UCT.tar.gz']	['ENCFF084HTK.bigWig']	['ENCFF826KBY.tar.gz']	[]	['ENCFF582YGW.bam']	['ENCFF183OVB.bed.gz', 'ENCFF640SEH.bigBed']	['ENCFF977WYZ.bigWig', 'ENCFF577QYE.tar.gz']	['ENCFF414QUL.bigWig', 'ENCFF887LIO.tar.gz']	['ENCFF887EWU.tar.gz', 'ENCFF606RBK.bigWig']	['ENCFF209TWS.tar.gz', 'ENCFF044XBZ.bigWig']	['ENCFF483MSB.tar.gz']	['ENCFF850SSD.tar.gz']	['ENCFF110IZN.tar.gz']	['ENCFF586JLN.bigWig']	['ENCFF674ZIT.bigWig']	['ENCFF565TTR.bigWig']	['ENCFF829FKF.tar.gz']
ENCSR228QKN	in progress	ChromBPNet-model	GRCh38	ENCSR859KGQ	released		Homo sapiens right lung tissue female embryo (107 days)	right lung	tissue	DNase-seq	false	['ENCFF889ZKH.tar.gz']	['ENCFF836TQP.bigWig']	['ENCFF760DWU.tar.gz']	[]	['ENCFF967QBL.bam']	['ENCFF775VJQ.bed.gz', 'ENCFF234TPP.bigBed']	['ENCFF291SKX.bigWig', 'ENCFF853DZS.tar.gz']	['ENCFF492TWC.bigWig', 'ENCFF260YSH.tar.gz']	['ENCFF450PQT.bigWig', 'ENCFF541NOK.tar.gz']	['ENCFF936BLK.bigWig', 'ENCFF693AVA.tar.gz']	['ENCFF604XQL.tar.gz']	['ENCFF521OAP.tar.gz']	['ENCFF651WIW.tar.gz']	['ENCFF796UPF.bigWig']	['ENCFF827ECP.bigWig']	['ENCFF833STC.bigWig']	['ENCFF722YBN.tar.gz']
ENCSR757ROR	in progress	ChromBPNet-model	GRCh38	ENCSR872MAO	released	ATAC-seq on human ovary	Homo sapiens ovary tissue female adult (41 years)	ovary	tissue	ATAC-seq	false	['ENCFF484JNX.tar.gz']	['ENCFF029JFA.bigWig']	['ENCFF164GBU.tar.gz']	['ENCFF389PBO.bam']	[]	['ENCFF030BOE.bed.gz', 'ENCFF085TKI.bigBed']	['ENCFF443QVN.tar.gz', 'ENCFF744MEI.bigWig']	['ENCFF089VPP.bigWig', 'ENCFF183YXR.tar.gz']	['ENCFF620JJS.bigWig', 'ENCFF403EKX.tar.gz']	['ENCFF597EYF.bigWig', 'ENCFF612INE.tar.gz']	['ENCFF427ZIR.tar.gz']	['ENCFF078FHR.tar.gz']	['ENCFF283DRP.tar.gz']	['ENCFF308KVZ.bigWig']	['ENCFF588OBI.bigWig']	['ENCFF917YJJ.bigWig']	['ENCFF498RCH.tar.gz']
ENCSR152TIL	in progress	ChromBPNet-model	GRCh38	ENCSR536NGW	released		Homo sapiens heart tissue male embryo (96 days)	heart	tissue	DNase-seq	false	['ENCFF814KJK.tar.gz']	['ENCFF746OXT.bigWig']	['ENCFF589NNH.tar.gz']	[]	['ENCFF728KAJ.bam']	['ENCFF785DAZ.bed.gz', 'ENCFF396DUC.bigBed']	['ENCFF803MGR.bigWig', 'ENCFF678EKO.tar.gz']	['ENCFF276XNJ.bigWig', 'ENCFF631SJQ.tar.gz']	['ENCFF963CFN.tar.gz', 'ENCFF235JDI.bigWig']	['ENCFF832LLC.tar.gz', 'ENCFF780NGO.bigWig']	['ENCFF956BYL.tar.gz']	['ENCFF707LWQ.tar.gz']	['ENCFF201ZWX.tar.gz']	['ENCFF135MLF.bigWig']	['ENCFF297AXQ.bigWig']	['ENCFF321RTI.bigWig']	['ENCFF743UMG.tar.gz']
ENCSR340RCH	in progress	ChromBPNet-model	GRCh38	ENCSR356RNZ	released		Homo sapiens heart right ventricle tissue female adult (46 years)	heart right ventricle	tissue	DNase-seq	false	['ENCFF895YIV.tar.gz']	['ENCFF021CCJ.bigWig']	['ENCFF442YRO.tar.gz']	['ENCFF843ZFJ.bam']	[]	['ENCFF063WRD.bed.gz', 'ENCFF800ATI.bigBed']	['ENCFF968KTK.bigWig', 'ENCFF947MTY.tar.gz']	['ENCFF610GPO.bigWig', 'ENCFF236OGQ.tar.gz']	['ENCFF375MBO.bigWig', 'ENCFF465XQX.tar.gz']	['ENCFF231HUS.bigWig', 'ENCFF693TCL.tar.gz']	['ENCFF266CNI.tar.gz']	['ENCFF148KVS.tar.gz']	['ENCFF831UKJ.tar.gz']	['ENCFF534VNZ.bigWig']	['ENCFF629KDK.bigWig']	['ENCFF773HPC.bigWig']	['ENCFF058ABQ.tar.gz']
ENCSR446PUF	in progress	ChromBPNet-model	GRCh38	ENCSR946MAI	released	ATAC-seq on human left ventricle myocardium inferior	Homo sapiens left ventricle myocardium inferior tissue male adult (60 years)	left ventricle myocardium inferior	tissue	ATAC-seq	false	['ENCFF356HXW.tar.gz']	['ENCFF116NJC.bigWig']	['ENCFF892PRG.tar.gz']	['ENCFF470IIW.bam']	[]	['ENCFF804KDI.bed.gz', 'ENCFF919WPT.bigBed']	['ENCFF384NFN.bigWig', 'ENCFF964NDD.tar.gz']	['ENCFF322QUS.bigWig', 'ENCFF727EWX.tar.gz']	['ENCFF243ZQY.bigWig', 'ENCFF749VQH.tar.gz']	['ENCFF784SWP.bigWig', 'ENCFF983AYM.tar.gz']	['ENCFF427ZIR.tar.gz']	['ENCFF689UAA.tar.gz']	['ENCFF429SCO.tar.gz']	['ENCFF573NSW.bigWig']	['ENCFF856CSL.bigWig']	['ENCFF533LSK.bigWig']	['ENCFF750TJP.tar.gz']
ENCSR241IGX	in progress	ChromBPNet-model	GRCh38	ENCSR600ZHS	released	ATAC-seq on human left colon	Homo sapiens left colon tissue female adult (46 years)	left colon	tissue	ATAC-seq	false	['ENCFF400LUK.tar.gz']	['ENCFF768JMJ.bigWig']	['ENCFF312RIP.tar.gz']	['ENCFF975WNG.bam']	[]	['ENCFF481YQH.bed.gz', 'ENCFF060GWN.bigBed']	['ENCFF915VJA.bigWig', 'ENCFF913WDL.tar.gz']	['ENCFF480WUT.bigWig', 'ENCFF058KFQ.tar.gz']	['ENCFF696HJO.bigWig', 'ENCFF284JPD.tar.gz']	['ENCFF879ORW.bigWig', 'ENCFF737HND.tar.gz']	['ENCFF427ZIR.tar.gz']	['ENCFF935VBQ.tar.gz']	['ENCFF605FYQ.tar.gz']	['ENCFF180DMH.bigWig']	['ENCFF149OCP.bigWig']	['ENCFF174ZYA.bigWig']	['ENCFF183SAG.tar.gz']
ENCSR900IMX	in progress	ChromBPNet-model	GRCh38	ENCSR575VMI	released		Homo sapiens placenta tissue female embryo (101 days) and male embryo (105 days)	placenta	tissue	DNase-seq	false	['ENCFF499ROH.tar.gz']	['ENCFF568EJE.bigWig']	['ENCFF254MAY.tar.gz']	['ENCFF244ILB.bam', 'ENCFF986SRN.bam']	[]	['ENCFF350CTS.bed.gz', 'ENCFF230SDK.bigBed']	['ENCFF581SKO.bigWig', 'ENCFF433EIJ.tar.gz']	['ENCFF769RVR.bigWig', 'ENCFF103JKZ.tar.gz']	['ENCFF292MRW.bigWig', 'ENCFF823ZYS.tar.gz']	['ENCFF499TCX.bigWig', 'ENCFF552KXW.tar.gz']	['ENCFF260QOV.tar.gz']	['ENCFF954HSH.tar.gz']	['ENCFF841TBN.tar.gz']	['ENCFF068JLU.bigWig']	['ENCFF128SDP.bigWig']	['ENCFF931RHN.bigWig']	['ENCFF393OMW.tar.gz']
ENCSR195ZBJ	in progress	ChromBPNet-model	GRCh38	ENCSR587HPR	released		Homo sapiens lung tissue male embryo (82 days)	lung	tissue	DNase-seq	false	['ENCFF527TYA.tar.gz']	['ENCFF016CVB.bigWig']	['ENCFF447ZHA.tar.gz']	[]	['ENCFF120WIS.bam']	['ENCFF578WSX.bed.gz', 'ENCFF559LQX.bigBed']	['ENCFF118PIW.bigWig', 'ENCFF231FDX.tar.gz']	['ENCFF370BYS.bigWig', 'ENCFF129HAE.tar.gz']	['ENCFF642UDA.tar.gz', 'ENCFF022IDH.bigWig']	['ENCFF830AKA.tar.gz', 'ENCFF122RRD.bigWig']	['ENCFF276ROL.tar.gz']	['ENCFF491BVW.tar.gz']	['ENCFF612FBX.tar.gz']	['ENCFF706IUV.bigWig']	['ENCFF493VGA.bigWig']	['ENCFF844AYM.bigWig']	['ENCFF416ABJ.tar.gz']
ENCSR848OXW	in progress	ChromBPNet-model	GRCh38	ENCSR177JWR	released	ATAC-seq on human right cardiac atrium	Homo sapiens right cardiac atrium tissue female adult (59 years)	right cardiac atrium	tissue	ATAC-seq	false	['ENCFF362HTE.tar.gz']	['ENCFF578IRD.bigWig']	['ENCFF610ANH.tar.gz']	['ENCFF260QJK.bam']	[]	['ENCFF863ACK.bed.gz', 'ENCFF580QHV.bigBed']	['ENCFF080ATO.bigWig', 'ENCFF466VHA.tar.gz']	['ENCFF870EZR.bigWig', 'ENCFF609PRA.tar.gz']	['ENCFF012SOF.bigWig', 'ENCFF092ROK.tar.gz']	['ENCFF318DAD.bigWig', 'ENCFF047BZE.tar.gz']	['ENCFF427ZIR.tar.gz']	['ENCFF566YUU.tar.gz']	['ENCFF014ZAK.tar.gz']	['ENCFF737NJN.bigWig']	['ENCFF275RIM.bigWig']	['ENCFF745BCY.bigWig']	['ENCFF729NEI.tar.gz']
ENCSR394KFZ	in progress	ChromBPNet-model	GRCh38	ENCSR032RGS	released	ATAC-seq on human cell line A549	Homo sapiens A549	A549	cell line	ATAC-seq	false	['ENCFF546HKG.tar.gz']	['ENCFF010MHS.bigWig']	['ENCFF004VTN.tar.gz']	['ENCFF701BDT.bam']	[]	['ENCFF679WWU.bed.gz', 'ENCFF733XKJ.bigBed']	['ENCFF176TDS.bigWig', 'ENCFF158EUC.tar.gz']	['ENCFF456CIM.bigWig', 'ENCFF107GFR.tar.gz']	['ENCFF451YDV.bigWig', 'ENCFF877PWM.tar.gz']	['ENCFF951XAZ.bigWig', 'ENCFF865AHM.tar.gz']	['ENCFF427ZIR.tar.gz']	['ENCFF758DOP.tar.gz']	['ENCFF117PET.tar.gz']	['ENCFF778ZCU.bigWig']	['ENCFF978XVW.bigWig']	['ENCFF567UEP.bigWig']	['ENCFF049RDA.tar.gz']
ENCSR276XFY	in progress	ChromBPNet-model	GRCh38	ENCSR857AEB	released		Homo sapiens large intestine tissue male embryo (108 days)	large intestine	tissue	DNase-seq	false	['ENCFF902OUA.tar.gz']	['ENCFF073KWU.bigWig']	['ENCFF112THC.tar.gz']	[]	['ENCFF646DYG.bam']	['ENCFF037QAH.bed.gz', 'ENCFF006MXL.bigBed']	['ENCFF101KQR.bigWig', 'ENCFF247GMB.tar.gz']	['ENCFF626OZG.bigWig', 'ENCFF384CVO.tar.gz']	['ENCFF412WLD.tar.gz', 'ENCFF192LTV.bigWig']	['ENCFF245BMV.tar.gz', 'ENCFF643ZFE.bigWig']	['ENCFF231NJQ.tar.gz']	['ENCFF897WHF.tar.gz']	['ENCFF780JWT.tar.gz']	['ENCFF231EAN.bigWig']	['ENCFF745HHT.bigWig']	['ENCFF544HAF.bigWig']	['ENCFF120KAA.tar.gz']
ENCSR122RRZ	in progress	ChromBPNet-model	GRCh38	ENCSR590EFT	released		Homo sapiens posterior cingulate gyrus tissue female adult (90 or above years)	posterior cingulate gyrus	tissue	DNase-seq	false	['ENCFF759DNE.tar.gz']	['ENCFF934GCV.bigWig']	['ENCFF495IBG.tar.gz']	['ENCFF265UWQ.bam']	[]	['ENCFF184MEU.bed.gz', 'ENCFF129HSO.bigBed']	['ENCFF861TMX.bigWig', 'ENCFF899SUT.tar.gz']	['ENCFF606NDT.bigWig', 'ENCFF079GKJ.tar.gz']	['ENCFF047QRP.tar.gz', 'ENCFF742RGB.bigWig']	['ENCFF450OWW.tar.gz', 'ENCFF812QRN.bigWig']	['ENCFF692NAS.tar.gz']	['ENCFF508QCH.tar.gz']	['ENCFF700FXH.tar.gz']	['ENCFF434CLG.bigWig']	['ENCFF980UVQ.bigWig']	['ENCFF844MBQ.bigWig']	['ENCFF019BUC.tar.gz']
ENCSR342VPM	in progress	ChromBPNet-model	GRCh38	ENCSR184DFF	released		Homo sapiens left kidney tissue male embryo (96 days)	left kidney	tissue	DNase-seq	false	['ENCFF669PMO.tar.gz']	['ENCFF839CTY.bigWig']	['ENCFF614PAX.tar.gz']	[]	['ENCFF052LWW.bam']	['ENCFF310KTO.bed.gz', 'ENCFF916YLJ.bigBed']	['ENCFF409DWQ.bigWig', 'ENCFF166HES.tar.gz']	['ENCFF912DDC.bigWig', 'ENCFF507SCX.tar.gz']	['ENCFF454XLE.tar.gz', 'ENCFF439HHJ.bigWig']	['ENCFF524CBB.tar.gz', 'ENCFF659IAZ.bigWig']	['ENCFF232VKR.tar.gz']	['ENCFF446IYI.tar.gz']	['ENCFF262QWH.tar.gz']	['ENCFF793CYO.bigWig']	['ENCFF565ZNT.bigWig']	['ENCFF422GMW.bigWig']	['ENCFF310TBJ.tar.gz']
ENCSR451NQD	in progress	ChromBPNet-model	GRCh38	ENCSR949JYS	released		Homo sapiens muscle of arm tissue male embryo (105 days)	muscle of arm	tissue	DNase-seq	false	['ENCFF065KYP.tar.gz']	['ENCFF893NXR.bigWig']	['ENCFF844AXR.tar.gz']	[]	['ENCFF120VWM.bam']	['ENCFF109KWE.bed.gz', 'ENCFF819VSV.bigBed']	['ENCFF393TDK.bigWig', 'ENCFF470TNS.tar.gz']	['ENCFF039LNT.bigWig', 'ENCFF299USK.tar.gz']	['ENCFF308ELR.tar.gz', 'ENCFF774RRH.bigWig']	['ENCFF340DEK.tar.gz', 'ENCFF748OKI.bigWig']	['ENCFF289ZAS.tar.gz']	['ENCFF051CCS.tar.gz']	['ENCFF519DVL.tar.gz']	['ENCFF054WVQ.bigWig']	['ENCFF139EPO.bigWig']	['ENCFF675VGX.bigWig']	['ENCFF125XHS.tar.gz']
ENCSR771YUP	in progress	ChromBPNet-model	GRCh38	ENCSR115YPI	released		Homo sapiens hematopoietic multipotent progenitor cell treated with erythropoietin for 20 days, hydrocortisone succinate for 20 days, kit ligand for 20 days, interleukin-3 for 20 days	hematopoietic multipotent progenitor cell	in vitro differentiated cells	DNase-seq	false	['ENCFF544SSB.tar.gz']	['ENCFF802WCJ.bigWig']	['ENCFF213ZNS.tar.gz']	['ENCFF463GFS.bam']	[]	['ENCFF843TMT.bed.gz', 'ENCFF082YKY.bigBed']	['ENCFF389PIW.bigWig', 'ENCFF277MNB.tar.gz']	['ENCFF546NIA.bigWig', 'ENCFF611KKI.tar.gz']	['ENCFF651REL.bigWig', 'ENCFF876ZVK.tar.gz']	['ENCFF518ZDD.bigWig', 'ENCFF641LXS.tar.gz']	['ENCFF874VKL.tar.gz']	['ENCFF821UVJ.tar.gz']	['ENCFF822CRB.tar.gz']	['ENCFF757TWF.bigWig']	['ENCFF234TNN.bigWig']	['ENCFF078NHH.bigWig']	['ENCFF083OED.tar.gz']
ENCSR233FQG	in progress	ChromBPNet-model	GRCh38	ENCSR000EOO	released	DNase-seq and DGF on human HSMM	Homo sapiens skeletal muscle myoblast	skeletal muscle myoblast	primary cell	DNase-seq	false	['ENCFF906ZBK.tar.gz']	['ENCFF322TMZ.bigWig']	['ENCFF157JWZ.tar.gz']	['ENCFF701QQE.bam', 'ENCFF494NNN.bam']	[]	['ENCFF290WXJ.bed.gz', 'ENCFF094VEC.bigBed']	['ENCFF554GSS.bigWig', 'ENCFF704UDM.tar.gz']	['ENCFF382PMR.bigWig', 'ENCFF457SIX.tar.gz']	['ENCFF941RCJ.bigWig', 'ENCFF276NUS.tar.gz']	['ENCFF263CTZ.bigWig', 'ENCFF581DZG.tar.gz']	['ENCFF061CCH.tar.gz']	['ENCFF031KWU.tar.gz']	['ENCFF972XBB.tar.gz']	['ENCFF100VOB.bigWig']	['ENCFF014FWY.bigWig']	['ENCFF990EZV.bigWig']	['ENCFF114KHN.tar.gz']
ENCSR875FPK	in progress	ChromBPNet-model	GRCh38	ENCSR988YKR	released		Homo sapiens kidney capillary endothelial cell female embryo (113 days)	kidney capillary endothelial cell	primary cell	DNase-seq	false	['ENCFF705HQH.tar.gz']	['ENCFF664FOZ.bigWig']	['ENCFF307NWL.tar.gz']	['ENCFF033OTC.bam']	[]	['ENCFF781QWM.bed.gz', 'ENCFF104NXB.bigBed']	['ENCFF708APK.bigWig', 'ENCFF251HCT.tar.gz']	['ENCFF305VFL.bigWig', 'ENCFF216BGL.tar.gz']	['ENCFF948CIW.bigWig', 'ENCFF333FYL.tar.gz']	['ENCFF052TQE.bigWig', 'ENCFF015EUD.tar.gz']	['ENCFF553FGW.tar.gz']	['ENCFF600AFN.tar.gz']	['ENCFF971YXI.tar.gz']	['ENCFF012YTL.bigWig']	['ENCFF110TBA.bigWig']	['ENCFF881JDE.bigWig']	['ENCFF249AIM.tar.gz']
ENCSR259LWN	in progress	ChromBPNet-model	GRCh38	ENCSR639ZJI	released		Homo sapiens common myeloid progenitor, CD34-positive male adult (23 years)	common myeloid progenitor, CD34-positive	primary cell	DNase-seq	false	['ENCFF540FII.tar.gz']	['ENCFF172NYP.bigWig']	['ENCFF037QQR.tar.gz']	[]	['ENCFF184QBN.bam']	['ENCFF696GBF.bed.gz', 'ENCFF325WJS.bigBed']	['ENCFF126UJZ.bigWig', 'ENCFF476TMX.tar.gz']	['ENCFF025JDV.bigWig', 'ENCFF718CCH.tar.gz']	['ENCFF530IDT.bigWig', 'ENCFF940UUE.tar.gz']	['ENCFF859UDK.bigWig', 'ENCFF942IJU.tar.gz']	['ENCFF664CRO.tar.gz']	['ENCFF499XQI.tar.gz']	['ENCFF252RST.tar.gz']	['ENCFF999LDX.bigWig']	['ENCFF053GBC.bigWig']	['ENCFF730ILD.bigWig']	['ENCFF935UJL.tar.gz']
ENCSR771GLY	in progress	ChromBPNet-model	GRCh38	ENCSR301RCD	released		Homo sapiens renal pelvis tissue male embryo (127 days)	renal pelvis	tissue	DNase-seq	false	['ENCFF371SXH.tar.gz']	['ENCFF289PIV.bigWig']	['ENCFF797AAI.tar.gz']	[]	['ENCFF237VKK.bam']	['ENCFF668WUZ.bed.gz', 'ENCFF513AQV.bigBed']	['ENCFF770OAW.bigWig', 'ENCFF889RNH.tar.gz']	['ENCFF246GQA.bigWig', 'ENCFF492JCW.tar.gz']	['ENCFF920GYY.tar.gz', 'ENCFF069RSA.bigWig']	['ENCFF567RMC.tar.gz', 'ENCFF197CWX.bigWig']	['ENCFF555RMP.tar.gz']	['ENCFF052ZFX.tar.gz']	['ENCFF639VDK.tar.gz']	['ENCFF490ZMR.bigWig']	['ENCFF213XPM.bigWig']	['ENCFF476RGK.bigWig']	['ENCFF743HRR.tar.gz']
ENCSR775SOJ	in progress	ChromBPNet-model	GRCh38	ENCSR872IXQ	released		Homo sapiens T-helper 2 cell male adult (30 years)	T-helper 2 cell	primary cell	DNase-seq	false	['ENCFF358CEW.tar.gz']	['ENCFF221NPP.bigWig']	['ENCFF473VLE.tar.gz']	['ENCFF984EJT.bam']	[]	['ENCFF648ZUB.bed.gz', 'ENCFF037DZN.bigBed']	['ENCFF453MMP.bigWig', 'ENCFF415GDJ.tar.gz']	['ENCFF655GHL.bigWig', 'ENCFF675KCL.tar.gz']	['ENCFF409OCF.bigWig', 'ENCFF438PKC.tar.gz']	['ENCFF799IYU.bigWig', 'ENCFF648SDW.tar.gz']	['ENCFF258EKB.tar.gz']	['ENCFF700CRB.tar.gz']	['ENCFF687XGY.tar.gz']	['ENCFF680KTG.bigWig']	['ENCFF883CDE.bigWig']	['ENCFF560YSK.bigWig']	['ENCFF068NWM.tar.gz']
