Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile	Annotation predicted signal profile	Annotation test and training regions	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR232CBY	in progress	ENCSR217PZP	released	false	male adult (26 years)		CL:0000084	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF273GCR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF696MDR.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF644WVA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF237SUY.tar.gz	ENCFF906TNE	""
ENCSR232HGF	in progress	ENCSR652IZW	released	false	female adult (90 or above years)		UBERON:0002740	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF672XEU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF155SVA.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF242BFP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF714BAU.tar.gz	ENCFF562HKT	""
ENCSR232YHY	in progress	ENCSR962ITF	released	false			EFO:0010869	cell line	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF797YNT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF415KBT.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF129NUC.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF527KZO.tar.gz	ENCFF948HNW	""
ENCSR233FQG	in progress	ENCSR000EOO	released	false		DNase-seq and DGF on human HSMM	CL:0000515	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF157JWZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF322TMZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF704UDM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF906ZBK.tar.gz	ENCFF701QQE,ENCFF494NNN	""
ENCSR233IXC	in progress	ENCSR309FOO	released	false	female embryo (117 days)		UBERON:0000955	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF547QOP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF979HFG.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF576ZQY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF135MUB.tar.gz	""	ENCFF983HWN
ENCSR233KPU	in progress	ENCSR000EQB	released	false		UW human T-47D DNase-seq and DGF	EFO:0001247	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF201VQY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF175ONH.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF168LLA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF951QWE.tar.gz	ENCFF474NSD,ENCFF563OCJ	""
ENCSR233LNE	in progress	ENCSR593LTJ	released	false	embryo (18 weeks) embryo (17 weeks)		CL:0000351	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF543RFW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF388TZK.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF838WVW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF628AUE.tar.gz	ENCFF854SID,ENCFF610MXQ	""
ENCSR233MJY	in progress	ENCSR683YLO	released	false	female embryo (96 days)		UBERON:0000945	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF578BTZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF420QIQ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF914AQV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF742RAS.tar.gz	""	ENCFF620LNU
ENCSR234XNV	in progress	ENCSR950YTI	released	false	female adult (33 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 50 U/mL Interleukin-2 for 4 hours		NTR:0000504	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF304KMY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF190FMF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF747GOP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF932SAH.tar.gz	ENCFF296YWF	""
ENCSR235RGV	in progress	ENCSR576UAF	released	false	female child (16 years)		UBERON:0000317	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF951SUL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF863OMW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF548HXA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF787AOC.tar.gz	ENCFF946UKJ	""
