Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile	Annotation predicted signal profile	Annotation test and training regions	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR453AQL	in progress	ENCSR653VSR	released	false	female adult (39 years) treated with 1 μg/mL anti-CD40 for 72 hours, 10 μg/mL anti-IgM for 72 hours, 100 ng/mL Interleukin-4 for 72 hours		NTR:0000661	primary cell	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF515BGF.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF977KBY.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF501GYG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF211OBU.tar.gz	ENCFF070YLW,ENCFF990FRL	""
ENCSR456GSD	in progress	ENCSR775SYU	released	false	female adult (59 years)	ATAC-seq on human uterus	UBERON:0000995	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF708IIC.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF533VLE.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF575GOF.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF525ALP.tar.gz	ENCFF018NLH	""
ENCSR456VRU	in progress	ENCSR000EQM	released	true	treated with 20.0 nM afimoxifene for 72.0 hours stably expressing RAF1	DNase-seq on human WI-38 treated with 4-hydroxy-tamoxifen at 20nM for 72 hours	EFO:0001260	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF675FSE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF651LLJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF353VAP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF626NWM.tar.gz	""	ENCFF106KYR,ENCFF760MER
ENCSR457MEO	in progress	ENCSR346JWH	released	false		DNase-seq on cell line A673 (polygonal cell from 15 year old female human muscle, Ewing's sarcoma)	EFO:0002106	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF846QNO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF534LOC.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF302KRG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF984SAW.tar.gz	ENCFF860UCH,ENCFF261YSH	""
ENCSR459DVB	in progress	ENCSR483HUW	released	false	female adult (90 or above years) with Alzheimer's disease		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF918OIM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF803KIG.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF485HQW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF123APV.tar.gz	ENCFF589HKG	""
ENCSR459IBO	in progress	ENCSR487SOP	released	false			EFO:0010864	cell line	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF705MBC.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF617JXJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF428MSL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF481ZCY.tar.gz	ENCFF270VDV	""
ENCSR460RDN	in progress	ENCSR000EOS	released	false		DNase-seq on human Jurkat	CLO:0007045	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF640OCL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF810UJI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF773UVO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF756SSR.tar.gz	""	ENCFF623AMI,ENCFF443NXJ
ENCSR461KSW	in progress	ENCSR762YFD	released	false			CLO:0024898	cell line	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF950BSP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF907GLK.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF238BSE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF270DHP.tar.gz	ENCFF988EGP	""
ENCSR462CFV	in progress	ENCSR355WAJ	released	false	male adult (60 years)		NTR:0000494	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF531JLZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF946JPU.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF493EBD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF199SFC.tar.gz	ENCFF153TBA	""
ENCSR463ATK	in progress	ENCSR619LHF	released	false	female adult (47 years)	ATAC-seq on human sciatic nerve	UBERON:0001322	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF241UAN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF611ADI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF127QXI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF241FSR.tar.gz	ENCFF584LRY	""
ENCSR463EBH	in progress	ENCSR584LUZ	released	false	male adult (84 years)		UBERON:0001954	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF465ZDB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF967ZTG.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF988LOP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF605WBS.tar.gz	ENCFF037KOG	""
ENCSR463FHI	in progress	ENCSR242QRV	released	false	female adult (61 years)	ATAC-seq on human upper lobe of left lung	UBERON:0008952	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF125GNU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF563PXS.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF604SYH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF952YBA.tar.gz	ENCFF225GIF	""
ENCSR465POI	released	ENCSR273UFV	released	false	mixed sex embryo (11.5 days) strain B6NCrl C57BL/6	ATAC-seq on embryonic e11.5 mouse forebrain	UBERON:0001890	tissue	mm10	Mus musculus	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF501TIK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF899HXE.bigWig	""	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF271GRZ.tar.gz	ENCFF765GMR,ENCFF317LET	""
ENCSR466RMK	in progress	ENCSR000EQL	released	false		DNase-seq on human WERI-Rb-1	EFO:0005715	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF916TSU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF222MYZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF573JBI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF869DGJ.tar.gz	""	ENCFF639GFQ,ENCFF643TRD
ENCSR466YQP	in progress	ENCSR761TKU	released	false	male adult (54 years)	ATAC-seq on human transverse colon	UBERON:0001157	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF174AWE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF482VSL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF898LYW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF516HUE.tar.gz	ENCFF455YNB	""
ENCSR467GZH	in progress	ENCSR438TWI	released	false	male embryo (96 days)		UBERON:0002324	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF405TLR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF285QZH.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF834PRG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF793ZOF.tar.gz	""	ENCFF077XBL
ENCSR467RSV	released	ENCSR868FGK	released	false		ATAC-seq on human cell line K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF984RAF.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF874FUM.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF612DPF.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF991RUK.tar.gz	ENCFF534DCE,ENCFF077FBI,ENCFF128WZG	""
ENCSR468RFG	in progress	ENCSR128GBN	released	false	female adult (53 years)		UBERON:0002106	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF333ODT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF622EZO.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF699ICX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF284UKK.tar.gz	ENCFF518TQH	""
ENCSR468TMI	in progress	ENCSR627KFV	released	false	female embryo (110 days)		UBERON:0000945	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF347GRJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF323OBY.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF902YUJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF133PPY.tar.gz	""	ENCFF388EVJ
ENCSR470GQU	in progress	ENCSR334MDJ	released	false	female adult (89 years) with mild cognitive impairment		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF562UWX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF704GDA.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF169NEL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF425PBU.tar.gz	ENCFF591CAE	""
ENCSR470UFS	in progress	ENCSR749MUH	released	false	male adult (37 years)		UBERON:0002046	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF841WMH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF985WNZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF683HJT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF163AAT.tar.gz	ENCFF355MYX	""
ENCSR471AVR	in progress	ENCSR127PWK	released	false	female embryo (76 days)	DNase-seq on 76 day old female human eye tissue	UBERON:0000970	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF165PJI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF221FXI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF778OLH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF109KDE.tar.gz	ENCFF276XKV	""
ENCSR471LVE	in progress	ENCSR581RSO	released	false	male adult (34 years)		CL:0000084	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF011DXA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF514OUW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF321KFT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF300QCY.tar.gz	ENCFF890PGM	""
ENCSR471RJZ	in progress	ENCSR814DYF	released	false	male adult (90 or above years) with mild cognitive impairment		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF540JBF.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF299IWW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF418DFZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF354HPS.tar.gz	ENCFF580TLN	""
ENCSR473DPG	in progress	ENCSR056PFI	released	false	male adult (26 years)		UBERON:0001264	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF652FHP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF895KUD.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF548YFV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF620WWH.tar.gz	ENCFF988IQG	""
ENCSR473GBP	in progress	ENCSR000EMR	released	false		DNase-seq on human GM12864	EFO:0005337	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF645WLE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF398FTI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF003NGR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF230BAF.tar.gz	""	ENCFF123NPP
ENCSR473RMF	in progress	ENCSR522FGI	released	false	male adult (43 years)	ATAC-seq on human heart right ventricle	UBERON:0002080	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF297NBP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF463RWW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF074PQQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF232STI.tar.gz	ENCFF709NIR	""
ENCSR473ZKP	in progress	ENCSR452RAX	released	false	female adult (37 years) treated with 100 ng/mL Interleukin-6 for 8 hours		CL:0000624	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF674DAO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF940HUE.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF223QYL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF222SNG.tar.gz	ENCFF021GFS	""
ENCSR475FVE	in progress	ENCSR729DRB	released	false	male embryo		UBERON:0000473	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF410LJO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF029OEN.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF262LLV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF173VZI.tar.gz	""	ENCFF419SVL
ENCSR475GDI	in progress	ENCSR608NWP	released	false	female child (16 years)		UBERON:0001114	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF924XVM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF545ZAT.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF412KVB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF905CPG.tar.gz	ENCFF920IXO	""
ENCSR475ZXC	in progress	ENCSR239XNU	released	false	male adult (43 years)		CL:0000897	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF312GMG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF814BWS.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF032LIR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF620NRV.tar.gz	ENCFF534DMM	""
ENCSR476LJY	in progress	ENCSR935HEI	released	false	male adult (20 years) treated with anti-CD3 and anti-CD28 coated beads for 36 hours		CL:0000896	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF203QWC.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF124DXB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF955WMX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF644ZEG.tar.gz	ENCFF805CDT	""
ENCSR476OZB	in progress	ENCSR785MXI	released	false	female adult (88 years) with mild cognitive impairment		UBERON:0009834	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF222HAA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF579CAP.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF816ZKT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF702VGE.tar.gz	ENCFF865REX	""
ENCSR478IVZ	in progress	ENCSR312ZTS	released	false	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours		CL:0000896	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF603LTG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF031NWM.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF087MCJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF264SJC.tar.gz	ENCFF836TDX	""
ENCSR478OOS	in progress	ENCSR172PVJ	released	false	male embryo (91 days)		UBERON:0000945	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF959BSL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF813FQO.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF005TDQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF503NIZ.tar.gz	""	ENCFF164BAR
ENCSR479HKQ	in progress	ENCSR685OFR	released	false	female adult (39 years)		CL:0000788	primary cell	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF393DBS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF576HTN.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF819FHM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF142CKB.tar.gz	ENCFF402TQJ,ENCFF271LEW	""
ENCSR480JMB	in progress	ENCSR774RCO	released	false	female embryo (105 days)		UBERON:0002113	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF918BGM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF957FHH.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF060TUR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF275WWI.tar.gz	ENCFF078UZO	""
ENCSR480QYT	in progress	ENCSR121ZSL	released	false	embryo (21 weeks)		CL:0000351	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF344YRM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF673FXA.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF952VUQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF658NOE.tar.gz	ENCFF143HYS,ENCFF787BIT	""
ENCSR481HGO	in progress	ENCSR006IJP	released	false	embryo (112 days)		UBERON:0002048	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF972OLQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF944ZIF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF098OYK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF586IBH.tar.gz	""	ENCFF368MIJ
ENCSR482CSE	in progress	ENCSR867XFA	released	false	female adult (59 years)		UBERON:0008971	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF281WGU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF486ADR.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF687WOT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF663NQS.tar.gz	ENCFF794DGN	""
ENCSR482OFD	in progress	ENCSR444VTC	released	false	female embryo (105 days)		UBERON:0000059	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF229LSS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF596MCX.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF123WSJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF708KVZ.tar.gz	""	ENCFF272RKC
ENCSR484FNH	in progress	ENCSR163BSC	released	false	female adult (90 or above years) with mild cognitive impairment		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF780XNG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF971QCE.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF090WGF.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF904CJC.tar.gz	ENCFF027KRE	""
ENCSR486TDW	in progress	ENCSR000EQH	released	false	female adult (26 years)	DNase-seq on human Treg (Wb33676984)	CL:0000546	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF557BPU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF515HWF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF222QVB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF777SRD.tar.gz	""	ENCFF763CGZ
ENCSR486XFF	in progress	ENCSR400MOP	released	false	male adult (90 or above years) with Alzheimer's disease		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF749DHY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF248YSP.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF313TDP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF085WXZ.tar.gz	ENCFF079GEP	""
ENCSR487CXD	in progress	ENCSR240TPI	released	false		DNase-seq on cell line BJ (foreskin fibroblasts from a newborn human male).	EFO:0007750	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF944MHZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF348DBZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF249ISN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF547TEW.tar.gz	ENCFF505CBU,ENCFF518EFO	""
ENCSR487NMI	in progress	ENCSR437OOJ	released	false	female adult (59 years)	ATAC-seq on human heart right ventricle	UBERON:0002080	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF847LAK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF492EMZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF102UAK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF201NDH.tar.gz	ENCFF056EAW	""
ENCSR487SME	in progress	ENCSR986YWZ	released	false	male adult (84 years)		UBERON:0006088	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF910UDN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF215TNM.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF422SXB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF320BGY.tar.gz	ENCFF948ZIC	""
ENCSR490DKY	in progress	ENCSR159GFS	released	false	male adult (42 years)		CL:0000792	primary cell	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF664UQF.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF949IFW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF086BBQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF678FCS.tar.gz	ENCFF456ETK	""
ENCSR490GMC	in progress	ENCSR111WTE	released	false	female adult (26 years) treated with Interferon alpha-2 for 1 hour		CL:0000624	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF366DUQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF581USZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF857PRX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF263GWX.tar.gz	ENCFF221DUU,ENCFF287NUU	""
ENCSR490SYH	in progress	ENCSR257BGZ	released	false		DNase-seq on cell line ACHN (epithelial cell from 22 year old male human kidney, renal cell adenocarcinoma)	EFO:0002108	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF710GON.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF801EJJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF893TWO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF636IUK.tar.gz	ENCFF486ARM,ENCFF737SCC	""
ENCSR490VKT	in progress	ENCSR232NLA	released	false	male adult (35 years)		CL:0000895	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF412ZAK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF283KMY.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF036GRW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF356LSK.tar.gz	ENCFF772JPZ	""
ENCSR491OUP	released	ENCSR337EDG	released	false	mixed sex embryo (14.5 days) strain B6NCrl C57BL/6	DNase-seq on 14.5 day mixed embryonic mouse forebrain	UBERON:0001890	tissue	mm10	Mus musculus	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF251GBK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF457LQV.bigWig	""	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF573PXR.tar.gz	ENCFF109OSH,ENCFF309PFY	""
ENCSR492VQG	in progress	ENCSR373TDL	released	false	female adult (53 years)	ATAC-seq on human right lobe of liver	UBERON:0001114	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF271XGO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF737CUP.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF786SZG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF873XXF.tar.gz	ENCFF205LVV	""
ENCSR492YAV	in progress	ENCSR090IDV	released	false	male adult (54 years)		UBERON:0007610	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF263FPS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF211LPJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF179BSU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF521RIF.tar.gz	ENCFF217PGC	""
